Statistic,Year,Area,UNIT,VALUE,Statistic,Year,Area,UNIT,VALUE
New House Prices,1975,National,Euro,13254,Second Hand House Prices,1975,National,Euro,12478
New House Prices,1975,Dublin,Euro,13137,Second Hand House Prices,1975,Dublin,Euro,12774
New House Prices,1975,Cork,Euro,12921,Second Hand House Prices,1975,Cork,Euro,
New House Prices,1975,Galway,Euro,14420,Second Hand House Prices,1975,Galway,Euro,
New House Prices,1975,Limerick,Euro,13594,Second Hand House Prices,1975,Limerick,Euro,
New House Prices,1975,Waterford,Euro,12636,Second Hand House Prices,1975,Waterford,Euro,
New House Prices,1975,Other areas,Euro,13833,Second Hand House Prices,1975,Other areas,Euro,
New House Prices,1976,National,Euro,15564,Second Hand House Prices,1976,National,Euro,15303
New House Prices,1976,Dublin,Euro,15342,Second Hand House Prices,1976,Dublin,Euro,15850
New House Prices,1976,Cork,Euro,15347,Second Hand House Prices,1976,Cork,Euro,15139
New House Prices,1976,Galway,Euro,17842,Second Hand House Prices,1976,Galway,Euro,16858
New House Prices,1976,Limerick,Euro,15279,Second Hand House Prices,1976,Limerick,Euro,14018
New House Prices,1976,Waterford,Euro,13900,Second Hand House Prices,1976,Waterford,Euro,14545
New House Prices,1976,Other areas,Euro,15361,Second Hand House Prices,1976,Other areas,Euro,14161
New House Prices,1977,National,Euro,18754,Second Hand House Prices,1977,National,Euro,17925
New House Prices,1977,Dublin,Euro,19055,Second Hand House Prices,1977,Dublin,Euro,18778
New House Prices,1977,Cork,Euro,18652,Second Hand House Prices,1977,Cork,Euro,17898
New House Prices,1977,Galway,Euro,21715,Second Hand House Prices,1977,Galway,Euro,20792
New House Prices,1977,Limerick,Euro,19992,Second Hand House Prices,1977,Limerick,Euro,16681
New House Prices,1977,Waterford,Euro,17296,Second Hand House Prices,1977,Waterford,Euro,16505
New House Prices,1977,Other areas,Euro,18025,Second Hand House Prices,1977,Other areas,Euro,15980
New House Prices,1978,National,Euro,24082,Second Hand House Prices,1978,National,Euro,21895
New House Prices,1978,Dublin,Euro,25745,Second Hand House Prices,1978,Dublin,Euro,22920
New House Prices,1978,Cork,Euro,22460,Second Hand House Prices,1978,Cork,Euro,21427
New House Prices,1978,Galway,Euro,26244,Second Hand House Prices,1978,Galway,Euro,27862
New House Prices,1978,Limerick,Euro,23077,Second Hand House Prices,1978,Limerick,Euro,20136
New House Prices,1978,Waterford,Euro,21295,Second Hand House Prices,1978,Waterford,Euro,20381
New House Prices,1978,Other areas,Euro,22839,Second Hand House Prices,1978,Other areas,Euro,19736
New House Prices,1979,National,Euro,29387,Second Hand House Prices,1979,National,Euro,27598
New House Prices,1979,Dublin,Euro,32005,Second Hand House Prices,1979,Dublin,Euro,30092
New House Prices,1979,Cork,Euro,29064,Second Hand House Prices,1979,Cork,Euro,27734
New House Prices,1979,Galway,Euro,30466,Second Hand House Prices,1979,Galway,Euro,29539
New House Prices,1979,Limerick,Euro,30538,Second Hand House Prices,1979,Limerick,Euro,25847
New House Prices,1979,Waterford,Euro,27164,Second Hand House Prices,1979,Waterford,Euro,22565
New House Prices,1979,Other areas,Euro,27137,Second Hand House Prices,1979,Other areas,Euro,23711
New House Prices,1980,National,Euro,34967,Second Hand House Prices,1980,National,Euro,30927
New House Prices,1980,Dublin,Euro,37822,Second Hand House Prices,1980,Dublin,Euro,34129
New House Prices,1980,Cork,Euro,34617,Second Hand House Prices,1980,Cork,Euro,32387
New House Prices,1980,Galway,Euro,33839,Second Hand House Prices,1980,Galway,Euro,32978
New House Prices,1980,Limerick,Euro,34340,Second Hand House Prices,1980,Limerick,Euro,29656
New House Prices,1980,Waterford,Euro,32136,Second Hand House Prices,1980,Waterford,Euro,26046
New House Prices,1980,Other areas,Euro,32663,Second Hand House Prices,1980,Other areas,Euro,25966
New House Prices,1981,National,Euro,40167,Second Hand House Prices,1981,National,Euro,37394
New House Prices,1981,Dublin,Euro,44456,Second Hand House Prices,1981,Dublin,Euro,42193
New House Prices,1981,Cork,Euro,35464,Second Hand House Prices,1981,Cork,Euro,34777
New House Prices,1981,Galway,Euro,39729,Second Hand House Prices,1981,Galway,Euro,40333
New House Prices,1981,Limerick,Euro,41520,Second Hand House Prices,1981,Limerick,Euro,35282
New House Prices,1981,Waterford,Euro,34638,Second Hand House Prices,1981,Waterford,Euro,29994
New House Prices,1981,Other areas,Euro,37857,Second Hand House Prices,1981,Other areas,Euro,32025
New House Prices,1982,National,Euro,44060,Second Hand House Prices,1982,National,Euro,40308
