"Proportion of households state pension was majority of household income"
"(%) by Electoral Division and Year"

" ","2016"
"001  Carlow Urban, Co. Carlow",15.8
"002 Graigue Urban, Co. Carlow",20.4
"003 Clonmore, Co. Carlow",17.0
"004 Hacketstown, Co. Carlow",14.0
"005 Haroldstown, Co. Carlow",18.8
"006 Kineagh, Co. Carlow",20.3
"007 Rahill, Co. Carlow",15.8
"008 Rathvilly, Co. Carlow",16.2
"009 Tiknock, Co. Carlow",15.5
"010 Williamstown, Co. Carlow",14.3
"011 Agha, Co. Carlow",10.3
"012 Ballinacarrig (Part Urban), Co. Carlow",8.5
"013 Ballintemple, Co. Carlow",13.0
"014 Ballon, Co. Carlow",11.6
"015 Ballyellin, Co. Carlow",23.6
"016 Ballymoon, Co. Carlow",13.8
"017 Borris, Co. Carlow",19.0
"018 Burton Hall, Co. Carlow",7.9
"019 Carlow Rural (Part Urban), Co Carlow",9.3
"020 Clogrenan, Co. Carlow",15.5
"021 Clonegall, Co. Carlow",13.5
"022 Corries, Co. Carlow",18.4
"023 Cranemore, Co. Carlow",15.3
"024 Fennagh, Co. Carlow",10.6
"025 Garryhill, Co. Carlow",17.7
"026 Grangeford, Co. Carlow",11.0
"027 Johnstown, Co. Carlow",14.3
"028 Kellistown, Co. Carlow",13.3
"029 Kilbride, Co. Carlow",17.2
"030 Killedmond, Co. Carlow",10.8
"031 Killerrig, Co. Carlow",8.0
"032 Leighlinbridge, Co. Carlow",14.4
"033 Muinebeag (Bagenalstown) Rural, Co. Carlow",13.1
"034 Muinebeag (Bagenalstown) Urban, Co. Carlow",18.3
"035 Myshall, Co. Carlow",20.7
"036 Nurney, Co. Carlow",14.9
"037 Oldleighlin, Co. Carlow",14.7
"038 Rathanna, Co. Carlow",25.5
"039 Rathornan, Co. Carlow",12.1
"040 Rathrush, Co. Carlow",11.7
"041 Ridge, Co. Carlow",13.3
"042 Shangarry, Co. Carlow",7.9
"043 Sliguff, Co. Carlow",15.3
"044 Tankardstown, Co. Carlow",14.4
"045 Templepeter, Co. Carlow",15.4
"046 Tullowbeg, Co. Carlow",12.0
"047 Tullow Rural, Co. Carlow",13.3
"048 Tullow Urban, Co. Carlow",12.3
"049 Ballymurphy, Co. Carlow",19.8
"050 Coonogue, Co. Carlow",16.0
"051 Glynn, Co. Carlow",20.5
"052 Kyle, Co. Carlow",21.8
"053 Marley, Co. Carlow",20.5
"054 Tinnahinch, Co. Carlow",18.4
"001 Arran Quay A, Dublin City",12.0
"002 Arran Quay B, Dublin City",4.3
"003 Arran Quay C, Dublin City",2.4
"004 Arran Quay D, Dublin City",9.2
"005 Arran Quay E, Dublin City",12.2
"006 Ashtown A, Dublin City",7.6
"007 Ashtown B, Dublin City",13.8
"008 Ayrfield, Dublin City",13.9
"009 Ballybough A, Dublin City",11.7
"010 Ballybough B, Dublin City",9.6
"011 Ballygall A, Dublin City",10.5
"012 Ballygall B, Dublin City",21.5
"013 Ballygall C, Dublin City",21.0
"014 Ballygall D, Dublin City",18.0
"015 Ballymun A, Dublin City",6.5
"016 Ballymun B, Dublin City",15.4
"017 Ballymun C, Dublin City",12.8
"018 Ballymun D, Dublin City",15.6
"019 Ballymun E, Dublin City",20.3
"020 Ballymun F, Dublin City",22.2
"021 Beaumont A, Dublin City",28.2
"022 Beaumont B, Dublin City",15.4
"023 Beaumont C, Dublin City",24.3
"024 Beaumont D, Dublin City",15.3
"025 Beaumont E, Dublin City",22.7
"026 Beaumont F, Dublin City",18.2
"027 Botanic A, Dublin City",13.6
"028 Botanic B, Dublin City",11.7
"029 Botanic C, Dublin City",7.6
"030 Cabra East A, Dublin City",9.6
"031 Cabra East B, Dublin City",18.9
"032 Cabra East C, Dublin City",9.9
"033 Cabra West A, Dublin City",23.6
"034 Cabra West B, Dublin City",23.5
"035 Cabra West C, Dublin City",18.1
"036 Cabra West D, Dublin City",13.9
"037 Clontarf East A, Dublin City",17.3
"038 Clontarf East B, Dublin City",10.6
"039 Clontarf East C, Dublin City",10.2
"040 Clontarf East D, Dublin City",9.9
"041 Clontarf East E, Dublin City",9.6
"042 Clontarf West A, Dublin City",14.3
"043 Clontarf West B, Dublin City",18.9
"044 Clontarf West C, Dublin City",6.5
"045 Clontarf West D, Dublin City",13.2
"046 Clontarf West E, Dublin City",19.2
"047 Drumcondra South A, Dublin City",6.1
"048 Drumcondra South B, Dublin City",8.8
"049 Drumcondra South C, Dublin City",14.5
"050 Edenmore, Dublin City",20.9
"051 Finglas North A, Dublin City",15.5
"052 Finglas North B, Dublin City",18.9
"053 Finglas North C, Dublin City",17.4
"054 Finglas South A, Dublin City",16.5
"055 Finglas South B, Dublin City",12.2
"056 Finglas South C, Dublin City",20.4
"057 Finglas South D, Dublin City",19.9
"058 Grace Park, Dublin City",13.2
"059 Grange A, Dublin City",7.3
"060 Grange B, Dublin City",4.6
"061 Grange C, Dublin City",26.6
"062 Grange D, Dublin City",16.1
"063 Grange E, Dublin City",24.5
"064 Harmonstown A, Dublin City",23.0
"065 Harmonstown B, Dublin City",14.7
"066 Inns Quay A, Dublin City",10.4
"067 Inns Quay B, Dublin City",9.8
"068 Inns Quay C, Dublin City",10.3
"069 Kilmore A, Dublin City",9.1
"070 Kilmore B, Dublin City",23.2
"071 Kilmore C, Dublin City",20.6
"072 Kilmore D, Dublin City",28.0
"073 Mountjoy A, Dublin City",7.1
"074 Mountjoy B, Dublin City",4.7
"075 North City, Dublin City",3.8
"076 North Dock A, Dublin City",12.2
"077 North Dock B, Dublin City",7.2
"078 North Dock C, Dublin City",6.5
"079 Phoenix Park, Dublin City",4.4
"080 Priorswood A, Dublin City",9.7
"081 Priorswood B, Dublin City",10.3
"082 Priorswood C, Dublin City",6.5
"083 Priorswood D, Dublin City",17.5
"084 Priorswood E, Dublin City",14.9
"085 Raheny-Foxfield, Dublin City",18.6
"086 Raheny-Greendale, Dublin City",20.5
"087 Raheny-St. Assam, Dublin City",15.6
"088 Rotunda A, Dublin City",6.1
"089 Rotunda B, Dublin City",4.4
"090 Whitehall A, Dublin City",17.4
"091 Whitehall B, Dublin City",20.4
"092 Whitehall C, Dublin City",16.8
"093 Whitehall D, Dublin City",13.7
"094 Chapelizod, Dublin City",7.5
"095 Cherry Orchard A, Dublin City",1.3
"096 Carna, Dublin City",19.2
"097 Cherry Orchard C, Dublin City",6.1
"098 Crumlin A, Dublin City",19.5
"099 Crumlin B, Dublin City",23.0
"100 Crumlin C, Dublin City",15.9
"101 Crumlin D, Dublin City",17.7
"102 Crumlin E, Dublin City",20.0
"103 Crumlin F, Dublin City",18.6
"104 Decies, Dublin City",19.5
"105 Drumfinn, Dublin City",18.7
"106 Inchicore A, Dublin City",16.5
"107 Inchicore B, Dublin City",17.2
"108 Kilmainham A, Dublin City",16.1
"109 Kilmainham B, Dublin City",9.1
"110 Kilmainham C, Dublin City",11.3
"111 Kimmage A, Dublin City",16.6
"112 Kimmage B, Dublin City",21.5
"113 Kimmage C, Dublin City",8.3
"114 Kimmage D, Dublin City",16.4
"115 Kimmage E, Dublin City",15.1
"116 Kylemore, Dublin City",19.3
"117 Mansion House A, Dublin City",9.6
"118 Mansion House B, Dublin City",3.8
"119 Merchants Quay A, Dublin City",5.9
"120 Merchants Quay B, Dublin City",6.0
"121 Merchants Quay C, Dublin City",10.1
"122 Merchants Quay D, Dublin City",12.6
"123 Merchants Quay E, Dublin City",4.9
"124 Merchants Quay F, Dublin City",6.6
"125 Pembroke East A, Dublin City",11.4
"126 Pembroke East B, Dublin City",10.1
"127 Pembroke East C, Dublin City",8.6
