"Proportion of households working age social welfare was majority of"
"household income (%) by Electoral Division and Year"

" ","2016"
"001  Carlow Urban, Co. Carlow",29.4
"002 Graigue Urban, Co. Carlow",26.3
"003 Clonmore, Co. Carlow",12.1
"004 Hacketstown, Co. Carlow",23.5
"005 Haroldstown, Co. Carlow",14.6
"006 Kineagh, Co. Carlow",12.7
"007 Rahill, Co. Carlow",12.6
"008 Rathvilly, Co. Carlow",22.4
"009 Tiknock, Co. Carlow",10.0
"010 Williamstown, Co. Carlow",10.2
"011 Agha, Co. Carlow",10.3
"012 Ballinacarrig (Part Urban), Co. Carlow",11.7
"013 Ballintemple, Co. Carlow",11.4
"014 Ballon, Co. Carlow",15.2
"015 Ballyellin, Co. Carlow",8.3
"016 Ballymoon, Co. Carlow",6.9
"017 Borris, Co. Carlow",15.9
"018 Burton Hall, Co. Carlow",9.7
"019 Carlow Rural (Part Urban), Co Carlow",21.8
"020 Clogrenan, Co. Carlow",12.4
"021 Clonegall, Co. Carlow",14.7
"022 Corries, Co. Carlow",13.5
"023 Cranemore, Co. Carlow",10.0
"024 Fennagh, Co. Carlow",16.2
"025 Garryhill, Co. Carlow",11.1
"026 Grangeford, Co. Carlow",13.3
"027 Johnstown, Co. Carlow",10.2
"028 Kellistown, Co. Carlow",16.8
"029 Kilbride, Co. Carlow",9.0
"030 Killedmond, Co. Carlow",11.5
"031 Killerrig, Co. Carlow",7.1
"032 Leighlinbridge, Co. Carlow",14.2
"033 Muinebeag (Bagenalstown) Rural, Co. Carlow",10.4
"034 Muinebeag (Bagenalstown) Urban, Co. Carlow",22.6
"035 Myshall, Co. Carlow",15.7
"036 Nurney, Co. Carlow",10.2
"037 Oldleighlin, Co. Carlow",15.3
"038 Rathanna, Co. Carlow",4.3
"039 Rathornan, Co. Carlow",14.5
"040 Rathrush, Co. Carlow",10.2
"041 Ridge, Co. Carlow",20.0
"042 Shangarry, Co. Carlow",9.8
"043 Sliguff, Co. Carlow",18.2
"044 Tankardstown, Co. Carlow",7.2
"045 Templepeter, Co. Carlow",7.7
"046 Tullowbeg, Co. Carlow",13.1
"047 Tullow Rural, Co. Carlow",10.4
"048 Tullow Urban, Co. Carlow",25.9
"049 Ballymurphy, Co. Carlow",11.0
"050 Coonogue, Co. Carlow",20.0
"051 Glynn, Co. Carlow",11.8
"052 Kyle, Co. Carlow",9.1
"053 Marley, Co. Carlow",15.0
"054 Tinnahinch, Co. Carlow",22.4
"001 Arran Quay A, Dublin City",11.2
"002 Arran Quay B, Dublin City",15.8
"003 Arran Quay C, Dublin City",13.8
"004 Arran Quay D, Dublin City",19.8
"005 Arran Quay E, Dublin City",14.6
"006 Ashtown A, Dublin City",7.1
"007 Ashtown B, Dublin City",6.4
"008 Ayrfield, Dublin City",13.8
"009 Ballybough A, Dublin City",28.6
"010 Ballybough B, Dublin City",19.2
"011 Ballygall A, Dublin City",16.2
"012 Ballygall B, Dublin City",13.0
"013 Ballygall C, Dublin City",5.7
"014 Ballygall D, Dublin City",10.0
"015 Ballymun A, Dublin City",22.2
"016 Ballymun B, Dublin City",33.0
"017 Ballymun C, Dublin City",28.0
"018 Ballymun D, Dublin City",34.7
"019 Ballymun E, Dublin City",3.4
"020 Ballymun F, Dublin City",4.7
"021 Beaumont A, Dublin City",5.4
"022 Beaumont B, Dublin City",6.1
"023 Beaumont C, Dublin City",6.5
"024 Beaumont D, Dublin City",4.3
"025 Beaumont E, Dublin City",5.8
"026 Beaumont F, Dublin City",4.5
"027 Botanic A, Dublin City",5.8
"028 Botanic B, Dublin City",6.5
"029 Botanic C, Dublin City",8.0
"030 Cabra East A, Dublin City",11.0
"031 Cabra East B, Dublin City",15.4
"032 Cabra East C, Dublin City",18.3
"033 Cabra West A, Dublin City",16.2
"034 Cabra West B, Dublin City",21.3
"035 Cabra West C, Dublin City",16.6
"036 Cabra West D, Dublin City",12.6
"037 Clontarf East A, Dublin City",7.0
"038 Clontarf East B, Dublin City",5.5
"039 Clontarf East C, Dublin City",4.4
"040 Clontarf East D, Dublin City",4.8
"041 Clontarf East E, Dublin City",2.7
"042 Clontarf West A, Dublin City",7.7
"043 Clontarf West B, Dublin City",15.0
"044 Clontarf West C, Dublin City",5.8
"045 Clontarf West D, Dublin City",9.9
"046 Clontarf West E, Dublin City",3.4
"047 Drumcondra South A, Dublin City",7.1
"048 Drumcondra South B, Dublin City",11.8
"049 Drumcondra South C, Dublin City",4.4
"050 Edenmore, Dublin City",18.6
"051 Finglas North A, Dublin City",24.6
"052 Finglas North B, Dublin City",22.0
"053 Finglas North C, Dublin City",12.7
"054 Finglas South A, Dublin City",24.9
"055 Finglas South B, Dublin City",22.4
"056 Finglas South C, Dublin City",25.9
"057 Finglas South D, Dublin City",20.4
"058 Grace Park, Dublin City",6.0
"059 Grange A, Dublin City",9.9
"060 Grange B, Dublin City",14.6
"061 Grange C, Dublin City",10.5
"062 Grange D, Dublin City",10.4
"063 Grange E, Dublin City",13.2
"064 Harmonstown A, Dublin City",8.3
"065 Harmonstown B, Dublin City",11.4
"066 Inns Quay A, Dublin City",12.0
"067 Inns Quay B, Dublin City",15.1
"068 Inns Quay C, Dublin City",23.4
"069 Kilmore A, Dublin City",14.9
"070 Kilmore B, Dublin City",22.2
"071 Kilmore C, Dublin City",27.0
"072 Kilmore D, Dublin City",8.3
"073 Mountjoy A, Dublin City",26.9
"074 Mountjoy B, Dublin City",20.1
"075 North City, Dublin City",10.9
"076 North Dock A, Dublin City",12.0
"077 North Dock B, Dublin City",10.3
"078 North Dock C, Dublin City",16.9
"079 Phoenix Park, Dublin City",8.4
"080 Priorswood A, Dublin City",17.1
"081 Priorswood B, Dublin City",35.1
"082 Priorswood C, Dublin City",28.2
"083 Priorswood D, Dublin City",23.2
"084 Priorswood E, Dublin City",11.9
"085 Raheny-Foxfield, Dublin City",5.5
"086 Raheny-Greendale, Dublin City",10.9
"087 Raheny-St. Assam, Dublin City",3.6
"088 Rotunda A, Dublin City",21.9
"089 Rotunda B, Dublin City",21.4
"090 Whitehall A, Dublin City",3.7
"091 Whitehall B, Dublin City",7.8
"092 Whitehall C, Dublin City",7.8
"093 Whitehall D, Dublin City",8.5
"094 Chapelizod, Dublin City",9.3
"095 Cherry Orchard A, Dublin City",32.8
"096 Carna, Dublin City",24.4
"097 Cherry Orchard C, Dublin City",25.6
"098 Crumlin A, Dublin City",14.2
"099 Crumlin B, Dublin City",15.2
"100 Crumlin C, Dublin City",15.9
"101 Crumlin D, Dublin City",15.7
"102 Crumlin E, Dublin City",18.0
"103 Crumlin F, Dublin City",9.8
"104 Decies, Dublin City",23.6
"105 Drumfinn, Dublin City",23.2
"106 Inchicore A, Dublin City",13.6
"107 Inchicore B, Dublin City",26.4
"108 Kilmainham A, Dublin City",20.6
"109 Kilmainham B, Dublin City",11.0
"110 Kilmainham C, Dublin City",19.3
"111 Kimmage A, Dublin City",20.3
"112 Kimmage B, Dublin City",16.3
"113 Kimmage C, Dublin City",9.8
"114 Kimmage D, Dublin City",13.5
"115 Kimmage E, Dublin City",15.6
"116 Kylemore, Dublin City",24.3
"117 Mansion House A, Dublin City",22.5
"118 Mansion House B, Dublin City",4.7
"119 Merchants Quay A, Dublin City",25.5
"120 Merchants Quay B, Dublin City",10.4
"121 Merchants Quay C, Dublin City",17.8
"122 Merchants Quay D, Dublin City",7.3
"123 Merchants Quay E, Dublin City",10.8
"124 Merchants Quay F, Dublin City",19.9
"125 Pembroke East A, Dublin City",13.8
"126 Pembroke East B, Dublin City",2.6
"127 Pembroke East C, Dublin City",2.4
"128 Pembroke East D, Dublin City",5.6
"129 Pembroke East E, Dublin City",1.1
"130 Pembroke West A, Dublin City",3.9
"131 Pembroke West B, Dublin City",3.8
"132 Pembroke West C, Dublin City",3.7
"133 Rathfarnham, Dublin City",3.7
"134 Rathmines East A, Dublin City",5.7
"135 Rathmines East B, Dublin City",2.9
