TIME,European Union - 27 countries (from 2020),European Union - 28 countries (2013-2020),European Union - 15 countries (1995-2004),Euro area - 19 countries  (from 2015),Belgium,Bulgaria,Czechia,Denmark,Germany (until 1990 former territory of the FRG),Estonia,Ireland,Greece,Spain,France,Croatia,Italy,Cyprus,Latvia,Lithuania,Luxembourg,Hungary,Malta,Netherlands,Austria,Poland,Portugal,Romania,Slovenia,Slovakia,Finland,Sweden,Iceland,Norway,Switzerland,United Kingdom,Turkey,United States,Japan
2012,0,0,"14,839.67","13,578.89","16,628.54","1,799.23","5,131.47","18,017.05","15,281.22","4,587.77","18,913.88","9,265.39","11,446.04","14,418.13",0,"11,366.63",0,"2,827.38","2,982.08","21,777.19","3,215.68","8,944.13","18,390.76","15,930.77","3,712.90","7,582.80","2,083.82","6,757.80","4,244.89","17,022.24","17,836.31","15,475.24","26,292.05","32,470.07","17,743.12","3,744.58","15,099.45","19,341.43"
2013,"12,061.10","12,812.83","15,014.48","13,842.54","17,057.94","1,899.03","4,958.95","18,200.41","15,528.82","4,904.29","18,832.07","8,809.71","11,478.96","14,841.75","4,346.31","11,531.76",0,"2,980.64","3,141.66","22,244.21","3,237.54","9,168.00","18,830.55","16,135.38","3,827.97","7,846.98","2,256.24","6,825.42","4,323.21","17,220.64","18,368.84","16,509.42","26,189.65","32,114.13","17,366.32","3,828.92","14,584.84","15,070.71"
2014,"12,316.46","13,191.90","15,474.12","14,178.34","17,200.17","2,016.86","4,788.23","18,453.01","15,896.52","5,138.91","18,944.27","8,955.03","11,519.75","14,998.16","4,334.51","12,475.05","9,548.23","3,240.17","3,358.58","22,682.48","3,239.21","8,962.50","19,602.39","16,523.60","4,090.74","7,704.26","2,390.22","6,915.40","4,486.48","17,275.45","18,036.38","18,605.36","25,156.80","31,366.61","18,478.04","3,700.39","14,955.59","14,271.45"
2015,"12,485.30","13,716.33","16,102.72","14,384.84","17,433.61","2,169.57","4,959.67","18,632.53","16,254.16","5,504.01","19,243.25","8,658.72","11,927.12","14,798.86","4,518.91","12,859.23",0,"3,510.79","3,543.18","22,867.92","3,351.78","9,128.63","20,060.26","16,832.55","4,233.16","7,729.25","2,641.58","6,962.51","4,662.07","17,464.81","17,756.62","20,813.95","24,251.43","35,555.48","21,106.19","4,021.79","18,211.87","15,201.86"
2016,"12,791.48","13,707.31","16,059.12","14,744.53","18,256.11","2,344.52","5,184.11","18,812.99","16,576.26","6,211.59","19,768.23","8,434.73","11,919.80","15,481.07","4,656.84","12,881.04",0,"3,765.26","3,895.72","23,071.22","3,569.36","9,558.00","21,126.06","17,605.87","4,191.47","7,821.93","2,877.90","7,043.00","4,765.36","17,803.59","17,927.48","24,428.87","23,948.86","35,833.52","19,258.41","4,437.46","18,577.30","17,148.59"
2017,"12,979.78","13,781.61","16,084.43","14,907.06","18,658.25","2,566.37","5,620.21","19,108.75","16,849.06","6,332.72","20,163.46","8,363.46","11,947.71","15,536.88","4,981.71","12,905.38","9,769.51","4,088.36","4,398.84","24,487.18","4,011.86","9,776.63","21,461.92","18,080.85","4,533.85","8,001.39","3,151.05","7,206.92","4,904.54","18,095.29","18,036.92","27,744.23","24,390.44","35,302.06","18,680.71","3,980.39","18,658.96","16,281.16"
2018,"13,331.76","14,136.22","16,431.59","15,282.19","19,425.90","2,723.55","6,112.43","19,704.34","17,385.35","7,392.97","20,837.37","8,368.08","12,376.67","15,880.40","5,281.28","12,989.48","10,079.30","4,665.98","4,867.33","25,016.42","4,293.47","10,114.13","21,703.80","18,428.12","4,880.76","8,312.79","3,458.56","7,445.76","5,135.84","18,452.87","17,379.83","26,812.44","24,531.37","34,334.87","19,049.99","3,336.36","18,717.95","15,996.17"
2019,"13,881.88","14,724.67","17,076.57","15,907.23","20,123.43","3,046.51","6,480.17","20,139.77","17,972.35","7,819.06","21,441.68","8,516.82","12,779.70","17,167.75","5,465.73","13,118.15","10,239.22","5,032.02","5,357.36","26,200.70","4,695.27","10,765.88","22,615.39","19,042.15","5,210.09","8,709.77","3,717.66","7,673.47","5,378.60","18,934.41","17,278.24","25,986.30","24,821.44","36,180.44","19,958.94","3,773.93","20,284.07","17,143.03"
2020,"13,935.89",0,"17,142.58","15,925.35","20,399.58","3,306.39","6,371.50","20,589.68","17,839.29","7,979.17","21,822.94","7,956.89","12,187.64","16,919.23","5,585.69","13,520.48","10,288.74","5,510.56","6,012.18","27,177.33","4,774.61","11,078.25","23,508.56","19,859.67","5,302.95","8,881.77","3,904.18","8,075.27","5,553.26","19,181.36","17,783.74","24,421.15","23,292.64","37,303.77",0,"3,509.65","22,442.47","16,725.33"
2021,"14,436.75",0,"17,881.31","16,437.69","20,733.43","3,476.07","7,367.61","21,388.74","18,509.12","8,414.18","22,099.71","8,086.13","12,564.21","17,423.38","5,703.32","14,184.01","10,542.91","6,111.21","6,560.61","28,042.93","5,008.48","10,346.25","24,248.43","20,282.66","5,434.85","8,269.18","4,073.77","8,382.80","5,793.60","19,686.96","19,402.09","27,052.03","25,705.80","38,084.66",0,"3,208.82","22,428.62","15,881.84"
